key,N,L,mse,rmse,fmse
N=14L=25-test2,14.0,25.0,0.11478676225728154,0.20711959902760593,1613.6503274311387
N=14L=30-test2,14.0,30.0,0.10921430981762158,0.1987407597292153,1413.554985912376
N=14L=40-test2,14.0,40.0,0.23949490835337925,0.2976616706753824,3656.296595747626
N=14L=60-test2,14.0,60.0,1.658474067854439,0.5803029424904624,5797.980045721875
N=16L=5-test2,16.0,5.0,0.0037041647244487187,0.03636136675559152,3514.7985967531313
N=16L=8-test2,16.0,8.0,0.011015500048545665,0.06807250918195107,4785.008727701729
N=16L=10-test2,16.0,10.0,0.02083681687683259,0.09027473829144717,3679.5982381221374
N=16L=15-test2,16.0,15.0,0.0500483882752866,0.14105886574831986,3221.5049855567036
N=16L=17-test2,16.0,17.0,0.05256459343524255,0.14413792063230665,2122.2442594986437
N=16L=20-test2,16.0,20.0,0.05958365129531318,0.14703153592379084,1523.3166889781621
N=16L=22-test2,16.0,22.0,0.11806607117386485,0.2104677956415166,1628.277248277984
N=16L=25-test2,16.0,25.0,0.10869674810474363,0.19703257080807668,1645.117259043844
N=16L=30-test2,16.0,30.0,0.20511337287017106,0.2694701062346041,2118.7543694216056
N=16L=40-test2,16.0,40.0,0.7546871913926122,0.4495313105261902,6454.980880512793
N=16L=60-test2,16.0,60.0,2.831734722660235,0.8455083513866386,13806.070869014233
N=32L=5-test2,32.0,5.0,0.0038855844490798463,0.03521348282155882,3006.3629027492316
N=32L=8-test2,32.0,8.0,0.008845985970876807,0.0623518330225928,4272.169349776371
N=32L=10-test2,32.0,10.0,0.015862159119347796,0.08208346802059215,3933.7649724418543
N=32L=15-test2,32.0,15.0,0.06101614324754461,0.16840776231720678,4715.274421238655
N=32L=17-test2,32.0,17.0,0.09687754721402903,0.21481800668361728,4825.831514064426
N=32L=20-test2,32.0,20.0,0.1681854168200368,0.2831885117820105,4656.616413938945
N=32L=22-test2,32.0,22.0,0.2860067687860369,0.3595539044413751,5525.667418939403
N=32L=25-test2,32.0,25.0,0.4053883057086174,0.44266444310222786,6701.3312203785645
N=32L=30-test2,32.0,30.0,1.0342242143143454,0.6798526470174712,8326.907529642445
N=32L=40-test2,32.0,40.0,3.60849497591979,1.2796763226432928,16721.3964651301
N=32L=60-test2,32.0,60.0,19.583516124901447,3.0883498478428284,92232.35234932559
N=40L=5-test2,40.0,5.0,0.004924807467532873,0.039923266687718915,6367.957152594275
N=40L=8-test2,40.0,8.0,0.012567085764486844,0.07228953796457302,4308.464024982731
N=40L=10-test2,40.0,10.0,0.027215311552273802,0.11178798979417617,5254.061329505991
N=40L=15-test2,40.0,15.0,0.07515645985383099,0.1935394171697192,4857.273894698016
N=40L=17-test2,40.0,17.0,0.10197036873207947,0.22409179656224204,4404.820290366523
N=40L=20-test2,40.0,20.0,0.210635115217931,0.32512360196534945,5533.654337692611
N=40L=22-test2,40.0,22.0,0.30296604546421346,0.3794111419708588,5812.774661220163
N=40L=25-test2,40.0,25.0,0.7732906946665462,0.5568073253851412,7584.9636833912255
N=40L=30-test2,40.0,30.0,1.5360064935513762,0.8056556745825831,10429.532712117942
N=40L=40-test2,40.0,40.0,4.507701406310761,1.428743303290142,17859.118993745087
N=40L=60-test2,40.0,60.0,21.201975890767514,3.3466658780342775,33842.683133205675
N=64L=5-test2,64.0,5.0,0.005203392581583231,0.04154645419531905,3452.7789044653537
N=64L=8-test2,64.0,8.0,0.008935119250599872,0.06272414601220819,5054.951317281717
N=64L=10-test2,64.0,10.0,0.016092211512770297,0.08269326168089228,3863.8797951783554
N=64L=15-test2,64.0,15.0,0.08979039391118113,0.19903040506693612,5515.805841090393
N=64L=17-test2,64.0,17.0,0.1313374816513522,0.2373300391473733,5532.836005146778
N=64L=20-test2,64.0,20.0,0.21147237552601653,0.31445269387225677,5977.794878442906
N=64L=22-test2,64.0,22.0,0.2971511381895461,0.38023073778222133,6583.671127409487
N=64L=25-test2,64.0,25.0,0.405332690733516,0.44279178470743913,6604.360869660111
N=64L=30-test2,64.0,30.0,1.0469981466265537,0.7244580719169498,9735.31389561278
N=64L=40-test2,64.0,40.0,2.9647812326479777,1.1811317387230902,19052.20355737628
N=64L=60-test2,64.0,60.0,14.857355140111554,2.8486256268526025,32114.114405048247
